fiche_indicateur;id_indicateur;Nom_theme;famille_indicateur;Sous-groupe d'objectif;nom_indicateur;description_indicateur;actif;priorite;unite;objectif;modalités;support_spatial;Ponderation;spatialisation_H3;normalisation_methode;sens_indicateur;definition_criticite;quantitatif_qualitatif;discret_continue;relatif_absolu;Implantation;representation;synthese_echanges;
11;100;Enjeux Environnementaux;Enjeu;Valeur patrimoniale et réglementaire;Zones UNESCO;Superficie des intersections avec les zones inscrites au patrimoine mondial de l'UNESCO;oui;non;ha;Identifier les zones à haute valeur patrimoniale mondiale susceptibles d'être impactées par les pressions sur la ressource en eau.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence d’une partie du bassin versant dans zone UNESCO = criticité faible bien que enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
12;101;Enjeux Environnementaux;Enjeu;Valeur patrimoniale et réglementaire;Zones protégées provinciales;Superficie des intersections avec parcs, réserves;oui;non;ha;Caractériser le niveau de protection réglementaire du milieu naturel autour des ressources en eau.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence en zone protégée = criticité faible bien que  enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
13;102;Enjeux Environnementaux;Enjeu;Richesse biologique et rareté;KBA / ZICO;Superficie des intersections avec les zones d'intérêt biologique et biodiversité spécifique;oui;non;ha;Identifier les zones à forte valeur écologique (Key Biodiversity Areas, Zones Importantes pour la Conservation des Oiseaux).;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence en KBA/ZICO = criticité faible bien que enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
14;103;Enjeux Environnementaux;Enjeu;Richesse biologique et rareté;Espèces menacées;Nombre / présence d'espèces rares ou micro-endémisme;oui;non;Nombre;Mesurer la richesse spécifique menacée dépendante de la ressource en eau.;Calcul du nombre d’espèce menacé par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Forte richesse en espèces menacées = criticité faible bien que enjeu fort (à confirmer);Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;;
15;104;Enjeux Environnementaux;Enjeu;Richesse biologique et rareté;Espèces menacées (Forêt sèche);Superficie des intersections des patchs de forêt sèche;oui;non;ha;Identifier la présence de forêt sèche, écosystème endémique parmi les plus menacés de Nouvelle-Calédonie.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Négatif (absence = critique) ?;Présence de forêt sèche  = criticité faible bien que enjeu fort (à confirmer);Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
16;105;Enjeux Environnementaux;Enjeu;État écologique et rôle protecteur;Occupation sol (couvert végétal);Superficie des intersections avec des zones de couvert végétal;oui;oui;ha;Caractériser la présence de couvert végétal comme indicateur de bon état écologique du milieu.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Positif (plus = mieux);Fort couvert végétal = faible criticité;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;;
17;106;Enjeux Environnementaux;Enjeu;État écologique et rôle protecteur;Occupation sol (couvert forestier);Superficie des intersections avec des zones de couverture forestière non perturbée et dégradée;oui;oui;ha;Évaluer l'état de la couverture forestière, protectrice de la ressource en eau.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Positif (plus = mieux);Fort couvert forestier = faible criticité;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;;
18;107;Enjeux Environnementaux;Enjeu;Emprise des activités;Occupation sol (surfaces agricoles);Superficie des intersections avec des zones agricoles par type (terres arables, agropastorales, pépinières, sylviculture);oui;oui;ha;Mesurer l'emprise agricole, source potentielle de pression sur la qualité et la quantité de la ressource.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Forte surface agricole = pression potentielle élevée;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;;
19;200;Pressions Environnementales;Pression;Perturbations majeures du milieu;Incendies cumulés;Surface totale touchée par les incendies.;oui;oui;ha;Comparer les bassins versants selon leur historique d’incendies afin d’identifier les milieux les perturbés.;Cumul des surfaces brûlées sur une année et agrégation par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Forte surface brûlée = forte pression → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;cumul surfacique VIIRS, simplement iintégrable en pression environnementale.;
20;201;Pressions Environnementales;Pression;Fragilité des sols et transferts;Surface érosion;Surface des zones où le sol est abîmé ou fragile.;oui;oui;ha;Comparer les bassins versants selon leur sensibilité à l’érosion afin d’identifier les ressources exposées à des dégradations du milieu.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée non homogène territoire si utilisation de la donnée « formes érosives » de l’OEIL. Préférence donnée homogène → MOS. Indicateur secondaire.;
21;202;Pressions Environnementales;Pression;Fragilité des sols et transferts;Terrain nu;Surface de terrain sans végétation.;oui;oui;ha;Comparer les bassins versants selon l’étendue des surfaces dégradées afin d’identifier les zones les plus sensibles aux ruissellementau et aux transferts de polluants.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Indicateur MOS privilégié. Homogène et robuste. Calcul surfacique sur BV.;
22;203;Pressions Environnementales;Pression;Fragilité des sols et transferts;Glissement terrain;Zones exposées aux glissements de terrain.;oui;oui;ha;Comparer les bassins versants selon leur instabilité afin d’identifier les zones à risque pour la ressource.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Carte issue analyse multicritère DIMENC. Déplacé en vulnérabilité ?;
23;204;Pressions Environnementales;Pression;Pressions biologiques;Espèces exotiques envahissantes (EEE);Présence d´espèces exotiques envahissantes;oui;non;?;Comparer les bassins versants selon la présence d’espèces envahissantes afin d’identifier des pressions écologiques potentielles.;Intégration conditionnée à la disponibilité des données, sans méthode définie à ce stade.;BV;Non;Non;Classes 3 niveaux;Négatif (plus = critique);Présence forte = pression écologique élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée incertaine. Source non identifiée. Indicateur non prioritaire.;
24;300;Pressions Anthropiques;Pression;Activités à risque;ICPE;Nombre de sites industriels à risque.;oui;oui;Nombre;Comparer les bassins versants selon la densité d’activités à risque afin d’identifier les sources potentielles de pollution.;Comptage des installations par unité spatiale avec possibilité de typologie.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus d’ICPE = risque pollution → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Données dispersées (provinces). Besoin typologie ICPE. Difficulté accès + structuration.;
25;301;Pressions Anthropiques;Pression;Activités à risque;Activité minière;Surface occupée par les activités minières.;oui;non;ha;Comparer les bassins versants selon l’emprise minière afin d’identifier les pressions fortes sur la ressource.;Calcul des surfaces d’emprise puis agrégation par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Surface minière élevée = pression forte → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée DIMENC non publique. Alternative via MOS (redondance sol nu). Accès incertain.;
26;302;Pressions Anthropiques;Pression;Niveau d'artificialisation;Urbanisation;Nombre de bâtiments présents.;oui;oui;Nombre;Comparer les bassins versants selon leur niveau d’artificialisation afin d’identifier les pressions liées aux activités humaines.;Comptage des bâtiments par unité spatiale puis agrégation.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de bâti = pression → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée BD TOPO. Indicateur pression anthropique. Possibilité typologie bâtis.;
28;304;Pressions Anthropiques;Pression;Densité humaine;Habitations;Nombre de logements.;oui;oui;Nombre;Comparer les bassins versants selon la densité d’habitat afin d’affiner l’analyse des pressions humaines.;Comptage ou estimation des logements par unité spatiale.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Densité humaine = pression accrue;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée ISEE. Complément du bâti. Peut rester séparé ou fusionné selon usage.;
29;305;Pressions Anthropiques;Pression;Perturbation hydrographique;Franchissements;Nombre d'ouvrages croisant le réseau hydrographique;oui;oui;Nombre;Identifier les points de franchissement (ponts, buses, gués) comme facteurs de perturbation du réseau hydrographique. Chaque pont, buse ou gué est un point où une pollution routière (hydrocarbures, transport de matières dangereuses) peut entrer directement dans le cours d'eau en amont d'un captage;Comptage des intersections entre les ouvrages linéaires (routes, pistes) et le réseau hydrographique.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Nombre élevé de franchissements = pression sur continuité écologique;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;;
30;306;Pressions Anthropiques;Pression;Fragmentation des milieux;Linéaire routes;Distance de linéaire total de voiries par type (RT, RP, Piste);oui;oui;km;Mesurer la densité du réseau routier comme indicateur de pression sur les milieux naturels et la ressource en eau. Une forte densité de routes et de pistes (souvent non classées et plus érosives) augmente l'apport de sédiments dans les cours d'eau (turbidité, engrangement) et donne l'accès à des zones sensibles et peut potentiellement provoquer des pollutions.;Calcul de la longueur de voiries par maille, ventilé par type.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Fort linéaire routier = fragmentation et imperméabilisation élevées;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
;400;Vulnérabilité Intrinsèque;Vulnérabilité;Sensibilité naturelle;IDPR;Niveau de sensibilité naturelle du terrain à laisser passer l’eau.;non;oui;Indice (0 à 4);;;maille;Oui;Oui;Déjà normalisé (0-4);Négatif (plus = critique);Indice élevé = forte vulnérabilité;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Indicateur déjà normalisé (0-4). Clé pour vulnérabilité intrinsèque. Directement exploitable.;Cette indicateur n’est pas produit par la DIMENC actuellement
31;401;Vulnérabilité Intrinsèque;Vulnérabilité;Propriétés des sols;Géologie;Type de sol et de roche. Propriété des sols correspondant (infiltrant / intermédiaire / ruisselant);oui;oui;ha;Comparer les bassins versants selon les propriétés des sols afin de qualifier leur comportement hydrologique.;Regroupement des classes géologiques en catégories simplifiées.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Sols infiltrant = moins critique, ruisselants = plus critique;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;Indicateur simplifié (grandes classes). Risque redondance avec IDPR. À agréger.;
32;402;Vulnérabilité Intrinsèque;Vulnérabilité;Propriétés des sols;Vulnérabilité intrinsèque des eaux souterraines;Niveau de sensibilité naturelle du terrain à laisser passer l’eau.;oui;oui;Indice (1 à 5);Comparer les bassins versants selon leur vulnérabilité intrinsèque afin d’identifier les zones les plus sensibles aux transferts.;Étude à réaliser pour définir les modalités de production de l’indicateur;maille;Oui;Oui;Déjà normalisé (1-5);NA;NA;Qualitatif;Discrète;Absolu;Zonal;NA;;C’est l’indicateur qui est le plus proche d’un IDPR mais qui ne l’est pas. Se base sur la carte géologique au 1/50000.
33;500;Pressions Quantitatives;Pression;Équilibre ressource/besoins;BBR;Bilan Besoin Ressource, Écart entre l’eau disponible et les besoins.;oui;non;Classe (non impacté / impacté / très impacté / déficitaire / très déficitaire);Comparer les bassins versants selon l’équilibre ressource/besoins afin d’identifier les situations de tension ou de déficit.;Utilisation directe de la classe issue du modèle avec agrégation au bassin versant.;BV;Oui;Non;Déjà normalisé (5 classes);Négatif (plus = critique);Déficit ressource = criticité maximale;Qualitatif;Discrète;Relatif;Zonal;Carte choroplèthe;Indicateur clé (5 classes). Carte BV (vert à rouge). Base analyse multicritère stratégique.;
34;501;Pressions Quantitatives;Pression;Disponibilité de la ressource;Pluviométrie;Quantité de pluie reçue.;oui;non;mm;Comparer les bassins versants selon les apports en eau afin de contextualiser la disponibilité de la ressource.;Calcul de la moyenne spatiale par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Positif (plus = mieux);Faible pluie = forte criticité;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée régionalisée. Redondance avec capacité production. À discuter.;
35;502;Pressions Quantitatives;Pression;Tensions quantitatives;Niveau nappes;Suivi piézométrique des eaux souterraines;oui;oui;m NGF;Suivre l'évolution du niveau des nappes phréatiques pour détecter les tensions quantitatives.;Agrégation des données piézométriques par bassin versant ou maille.;maille;Oui;Non;Classes 3 niveaux;Positif (plus = mieux);Niveau bas = forte criticité quantitative;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
36;503;Pressions Quantitatives;Pression;Pression d'usage;AODPE nombre;Nombre de prélèvements d’eau autorisés.;oui;oui;Nombre;Comparer les captages selon le nombre de prélèvements afin d’évaluer la pression d’usage.;Comptage des prélèvements associés à chaque captage.;Captage;Oui;Non;Classes 3 niveaux;Négatif (plus = critique);Plus de prélèvements = pression ressource;Quantitatif;Discrète;Absolu;Ponctuelle;Cercle proportionnel;Indicateur pression captage. Donnée dynamique DAVAR. Intégrable en analyse.;
37;504;Pressions Quantitatives;Pression;Intensité de la pression;AODPE volume;Volume total d’eau prélevé.;oui;non;m3;Comparer les captages selon les volumes prélevés afin d’évaluer l’intensité de la pression quantitative.;Somme des volumes autorisés associés à chaque captage.;Captage;Oui;Non;Classes 3 niveaux;Négatif (plus = critique);Volume élevé = pression forte;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Complément du nombre. Permet comparaison avec ressource disponible.;
38;505;Pressions Qualitatives;Pression;État sanitaire;Qualité eau;Qualité de l’eau (bonne à mauvaise).;oui;oui;Classe (A1 / A2 / A3);Comparer les captages selon leur qualité afin d’identifier ceux nécessitant des actions de gestion ou de protection.;Attribution d’une classe par captage selon les données disponibles.;Captage;Oui;Non;Catégoriel mappé (1-3);Croissant;Classe dégradée = criticité élevée;Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Donnée complexe et peu disponible. Difficilement intégrable dans modèle actuel.;
